ISO,year,country.name,region,Subscriptors.per100,GPDperCapita,years.with.network
AFG,2012,Afghanistan,South Asia,60.35299258302,1120.584,11
ALB,2012,Albania,Eastern Europe,110.68653163121,9206.628,17
DZA,2012,Algeria,Middle East and North Africa,97.947843007476,7304.575,23
AGO,2012,Angola,Sub-Saharan Africa,47.073740935927,6091.647,20
ATG,2012,Antigua and Barbuda,Caribbean,143.01384320022,18196.753,17
ARG,2012,Argentina,South America,151.90518628955,17917.437,24
ARM,2012,Armenia,Former Soviet Republics,111.91466315671,5921.925,17
AUS,2012,Australia,Australia and Oceania,105.58569497343,41942.913,26
AUT,2012,Austria,Wester Europe,160.53973866569,41907.854,28
AZE,2012,Azerbaijan,Former Soviet Republics,108.76833811385,10365.378,19
BHR,2012,Bahrain,Middle East and North Africa,161.16705758798,33136.187,27
BGD,2012,Bangladesh,South Asia,62.820239064947,1957.416,21
BRB,2012,Barbados,Caribbean,122.51916348011,25043.44,22
BLR,2012,Belarus,Former Soviet Republics,113.51792543979,15378.724,20
BEL,2012,Belgium,Wester Europe,111.33154823715,37448.291,27
BLZ,2012,Belize,Central America,53.207122137876,8598.018,20
BEN,2012,Benin,Sub-Saharan Africa,83.654315887587,1553.803,18
BTN,2012,Bhutan,South Asia,75.60978240063,5990.687,10
BOL,2012,Bolivia,South America,90.443495007996,5041.306,22
BIH,2012,Bosnia and Herzegovina,Eastern Europe,89.53313560714,8047.729,17
BWA,2012,Botswana,Sub-Saharan Africa,153.78564905609,15705.753,15
BRA,2012,Brazil,South America,125.00185207074,11875.955,23
BRN,2012,Brunei Darussalam,East Asia,113.94873835018,54114.331,23
BGR,2012,Bulgaria,Eastern Europe,145.72745436425,14076.373,20
BFA,2012,Burkina Faso,Sub-Saharan Africa,60.607652145872,1488.773,17
BDI,2012,Burundi,Sub-Saharan Africa,22.81446020633,619.626,20
KHM,2012,Cambodia,East Asia,131.95671182844,2395.214,20
CMR,2012,Cameroon,Sub-Saharan Africa,60.406824429411,2337.731,19
CAN,2012,Canada,North America,80.050463893168,42469.403,28
CPV,2012,Cape Verde,Sub-Saharan Africa,86.025311437477,4303.249,16
CAF,2012,Central African Republic,Sub-Saharan Africa,25.261021093169,851.15,18
TCD,2012,Chad,Sub-Saharan Africa,35.489760301551,2474.391,13
CHL,2012,Chile,South America,138.16782703784,18181.562,24
CHN,2012,China,East Asia,80.762714549373,9051.337,26
COL,2012,Colombia,South America,102.85493838968,10696.923,19
COM,2012,Comoros,Sub-Saharan Africa,39.513563009493,1250.642,10
COD,2012,Congo,Sub-Saharan Africa,28.008567224212,605.875,18
COG,2012,Congo,Sub-Saharan Africa,98.756828084337,4614.602,17
CRI,2012,Costa Rica,Central America,111.91991334559,12593.827,21
HRV,2012,Croatia,Eastern Europe,115.4136047037,18101.797,23
CYP,2012,Cyprus,Wester Europe,98.400434369005,26772.906,25
CZE,2012,Czech Republic,Eastern Europe,126.84648506841,27058.587,22
DNK,2012,Denmark,Wester Europe,117.9558920872,37248.721,31
DJI,2012,Djibouti,Middle East and North Africa,24.715582584581,2648.131,17
DMA,2012,Dominica,Caribbean,152.47475029295,13964.095,17
DOM,2012,Dominican Republic,Caribbean,86.937097320218,9547.451,23
ECU,2012,Ecuador,South America,106.22553294986,9682.074,19
EGY,2012,Egypt,Middle East and North Africa,115.29380829206,6474.384,26
SLV,2012,El Salvador,Central America,137.34252613065,7315.987,20
GNQ,2012,Equatorial Guinea,Sub-Saharan Africa,68.053744689636,24886.883,17
ERI,2012,Eritrea,Sub-Saharan Africa,4.979397878492,709.924,9
EST,2012,Estonia,Former Soviet Republics,160.41077551678,22471.923,22
ETH,2012,Ethiopia,Sub-Saharan Africa,22.374519274738,1255.699,14
FJI,2012,Fiji,Australia and Oceania,98.178548646344,4885.504,19
FIN,2012,Finland,Wester Europe,172.3224293173,35739.858,33
FRA,2012,France,Wester Europe,97.409033874586,35312.438,27
GAB,2012,Gabon,Sub-Saharan Africa,187.35536709183,18385.959,21
GMB,2012,Gambia,Sub-Saharan Africa,85.203757205265,1867.809,21
GEO,2012,Georgia,Former Soviet Republics,107.80911202269,5845.79,18
DEU,2012,Germany,Wester Europe,111.5940398203,39335.174,28
GHA,2012,Ghana,Sub-Saharan Africa,100.99329973569,3315.989,21
GRC,2012,Greece,Wester Europe,120.03721648855,24469.207,20
GRD,2012,Grenada,Caribbean,121.34656769337,13360.922,23
GTM,2012,Guatemala,Central America,137.81948494948,5153.482,23
GIN,2012,Guinea,Sub-Saharan Africa,41.750816699593,1107.888,20
GNB,2012,Guinea-Bissau,Sub-Saharan Africa,69.446554640575,1208.997,10
